BaseDateTime,MMSI,LAT,LON,SOG,Heading
329700,367463260.0,32.659980000000004,-117.2282,6.449999999999999,167
329760,368798000.0,32.631,-117.27367,3.3,125
329760,367463260.0,32.65876,-117.22805,6.1,167
329760,308322000.0,32.66797,-117.22802,12.9,352
329820,308322000.0,32.67203,-117.22863,12.7,353
329820,367463260.0,32.65613,-117.22764,6.5,166
329820,368798000.0,32.6305,-117.27283,3.3,125
329880,367463260.0,32.654725,-117.22742,6.75,169
329880,308322000.0,32.67577,-117.22913,11.1,353
329880,368798000.0,32.62983,-117.27183,3.3,124
329940,368798000.0,32.6295,-117.27125,3.35,124
329940,308322000.0,32.67838,-117.22948,10.0,353
329940,367463260.0,32.65332,-117.2272,7.0,172
330000,368798000.0,32.62917,-117.27067,3.4,125
330000,308322000.0,32.68178,-117.22987,9.6,353
330000,367463260.0,32.65071,-117.227,4.4,189
330060,368798000.0,32.62867,-117.26967,3.3,122
330060,308322000.0,32.68411,-117.23017,9.4,353
330060,367463260.0,32.649775,-117.22708,4.800000000000001,185
330120,308322000.0,32.68753,-117.23063,9.5,352
330120,368798000.0,32.628,-117.26867,3.2,125
330120,367463260.0,32.64884,-117.22716,5.2,182
330180,368798000.0,32.62733,-117.26767,3.3,124
330180,308322000.0,32.689065,-117.23085,9.65,352
330180,367463260.0,32.64663,-117.22723,5.0,183
330240,308322000.0,32.6906,-117.23107,9.8,352
330240,367463260.0,32.64564,-117.22731,5.05,181
330240,368798000.0,32.62667,-117.26667,3.4,125
330300,368798000.0,32.626,-117.26567,3.3,125
330300,367463260.0,32.64465,-117.22739,5.1,179
330300,308322000.0,32.69302,-117.23143,9.9,352
330360,308322000.0,32.69657,-117.23168,9.9,3
330360,367463260.0,32.64325,-117.22739,5.0,179
330360,368798000.0,32.62575,-117.26517,3.3,125
330420,367463260.0,32.64113,-117.22752,5.1,180
330420,368798000.0,32.6255,-117.26467,3.3,125
330420,308322000.0,32.6996,-117.23095,9.8,15
331320,367373960.0,32.60189,-117.23801,10.4,55
331320,368798000.0,32.61483,-117.24683,2.1,96
331320,367463260.0,32.62267,-117.23169,4.9,204
331380,368798000.0,32.61483,-117.24617,1.4,91
331380,367373960.0,32.60473,-117.23567,10.6,53
331380,367463260.0,32.62174,-117.232205,4.95,201
331440,369970762.0,32.68718,-117.23314,5.0,243
331440,367373960.0,32.606325,-117.234835,10.65,50
331440,368798000.0,32.61483,-117.24583,1.2,87
331440,367463260.0,32.62081,-117.23272,5.0,198
331500,367373960.0,32.60792,-117.234,10.7,48
331500,367463260.0,32.61893,-117.23377,4.9,207
331500,369970762.0,32.68706,-117.23232,5.3,167
331500,368798000.0,32.61483,-117.24558,1.05,85
331560,367463260.0,32.617935,-117.23436,4.800000000000001,202
331560,367373960.0,32.61104,-117.2323,10.7,50
331560,369970762.0,32.6847,-117.2317,8.0,165
331560,368798000.0,32.61483,-117.24533,0.9,83
331620,369970762.0,32.68224,-117.23095,7.8,167
331620,368798000.0,32.61483,-117.24517,0.7,78
331620,367463260.0,32.61694,-117.23495,4.7,198
331620,367373960.0,32.61418,-117.23036,10.9,51
331680,369970762.0,32.680980000000005,-117.230645,7.75,168
331680,368798000.0,32.61483,-117.24483,1.1,74
331680,367373960.0,32.61733,-117.22864,10.6,49
331680,367463260.0,32.61532,-117.23605,4.9,217
331740,367463260.0,32.614374999999995,-117.23672,5.050000000000001,211
331740,369970762.0,32.67972,-117.23034,7.7,169
331740,368798000.0,32.615,-117.24417,2.0,74
331740,367373960.0,32.62057,-117.22714,10.6,46
331800,367463260.0,32.61343,-117.23739,5.2,205
331800,368798000.0,32.61517,-117.24333,2.7,75
331800,367373960.0,32.62358,-117.22574,10.8,48
331800,369970762.0,32.67726,-117.22987,7.8,172
331860,367373960.0,32.6265,-117.22441,10.4,44
331860,368798000.0,32.61533,-117.24217,2.9,79
331860,369970762.0,32.67483,-117.22949,10.2,173
331860,367463260.0,32.61205,-117.23823,5.3,225
331920,367373960.0,32.628315,-117.223975,10.6,42
